Strain	Gene	z_score	Fold_change	Description	GO_function	GO_process	GO_component	Essential	Zygosity
YOR360C::chr15_4	PDE2	-0.0413934	-0.00992578	"High-affinity cyclic AMP phosphodiesterase, component of the cAMP-dependent protein kinase signaling system, protects the cell from extracellular cAMP, contains readthrough motif surrounding termination codon"	"3',5'-cyclic-AMP phosphodiesterase activity (IDA); 3',5'-cyclic-nucleotide phosphodiesterase activity (IEA); catalytic activity (IEA); hydrolase activity (IEA)"	cAMP-mediated signaling (IMP); signal transduction (IEA)	cytoplasm (IDA); nucleus (IDA)	no	hom
YOR361C::chr15_4	PRT1	2.53939	0.234835	"Subunit of the core complex of translation initiation factor 3(eIF3), essential for translation; part of a subcomplex (Prt1p-Rpg1p-Nip1p) that stimulates binding of mRNA and tRNA(i)Met to ribosomes"	"RNA binding (IEA); nucleic acid binding (IEA); nucleotide binding (IEA); translation initiation factor activity (IDA, IEA, IPI, ISS)"	"cell cycle (IEA); cell division (IEA); translation (IEA); translational initiation (IDA, IMP, IEA)"	"cytoplasm (IPI); eukaryotic translation initiation factor 3 complex (IPI, IDA); multi-eIF complex (IDA)"	yes	het
YOR362C::chr15_4	PRE10	-3.78887	-0.572966	Alpha 7 subunit of the 20S proteasome	"endopeptidase activity (TAS, IEA); hydrolase activity (IEA); peptidase activity (IEA); threonine endopeptidase activity (IEA)"	"ubiquitin-dependent protein catabolic process (TAS, IEA)"	"cytoplasm (IEA); cytosol (IEA); nucleus (IEA); proteasome core complex (IEA); proteasome core complex, alpha-subunit complex (IPI); proteasome storage granule (IDA); protein complex (IEA)"	yes	het
YOR363C::chr15_4	PIP2	0.367649	0.0568525	"Autoregulatory oleate-specific transcriptional activator of peroxisome proliferation, contains Zn(2)-Cys(6) cluster domain, forms heterodimer with Oaf1p, binds oleate response elements (OREs), activates beta-oxidation genes"	"DNA binding (IEA); metal ion binding (IEA); specific RNA polymerase II transcription factor activity (IDA, IMP); transcription activator activity (IMP); transcription factor activity (IEA); zinc ion binding (IEA)"	"fatty acid metabolic process (IMP); peroxisome organization and biogenesis (IMP); positive regulation of transcription (IMP, IPI); regulation of transcription, DNA-dependent (IEA); response to oleate (IEP); transcription (IEA)"	"nucleus (IEA, IPI)"	no	hom
YOR364W::chr00_11	YOR364W	0.298631	0.0126003	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YOR365C"				no	hom
YOR364W::chr15_4	YOR364W	-2.01913	-0.211539	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YOR365C"				no	hom
YOR365C::chr15_4	YOR365C	-0.0189805	0.0146359	Putative protein of unknown function; YOR365C is not an essential protein	molecular_function (ND)	biological_process (ND)	cellular_component (ND); integral to membrane (IEA); membrane (IEA)	no	hom
YOR366W::chr15_4	YOR366W	-1.03926	-0.16058	Hypothetical protein				no	hom
YOR367W::chr15_4	SCP1	0.430346	0.0484522	"Component of yeast cortical actin cytoskeleton, binds and cross links actin filaments; originally identified by its homology to calponin (contains a calponin-like repeat) but the Scp1p domain structure is more similar to transgelin"	"actin filament binding (IDA); protein binding, bridging (IDA)"	"actin filament organization (IDA); chronological cell aging (IMP, IGI)"	actin cortical patch (IDA); cytoplasm (IEA); cytoskeleton (IEA)	no	hom
YOR368W::chr15_4	RAD17	-1.30663	-0.200993	"Checkpoint protein, involved in the activation of the DNA damage and meiotic pachytene checkpoints; with Mec3p and Ddc1p, forms a clamp that is loaded onto partial duplex DNA; homolog of human and S. pombe Rad1 and U. maydis Rec1 proteins"	DNA binding (IEA); damaged DNA binding (IEA); double-stranded DNA binding (IDA); exodeoxyribonuclease III activity (IEA); exonuclease activity (IEA); hydrolase activity (IEA); nuclease activity (IEA)	DNA damage checkpoint (IMP); DNA repair (IEA); double-strand break repair (IMP); meiotic recombination (IMP); response to DNA damage stimulus (IEA)	"nucleus (IEA, IPI)"	no	hom
YOR369C::chr15_4	RPS12	1.43472	0.317955	Protein component of the small (40S) ribosomal subunit; has similarity to rat ribosomal protein S12	"structural constituent of ribosome (TAS, IEA)"	"translation (IEA, TAS)"	cytoplasm (IEA); cytosolic small ribosomal subunit (TAS); intracellular (IEA); ribonucleoprotein complex (IEA); ribosome (IEA)	no	hom
YOR370C::chr15_4	MRS6	3.03195	0.431614	"Rab escort protein, forms a complex with the Ras-like small GTPase Ypt1p that is required for the prenylation of Ypt1p by protein geranylgeranyltransferase type II (Bet2p-Bet4p)"	GTPase activator activity (IEA); Rab GTPase binding (TAS)	"intracellular protein transport (IEA, TAS); regulation of GTPase activity (IEA)"	cytoplasm (IDA); membrane (IDA)	yes	het
YOR371C::chr15_4	GPB1	0.351316	0.0736536	"Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; homolog of Gpb2p"	GTPase activating protein binding (IPI); cAMP-dependent protein kinase inhibitor activity (IGI); signal transducer activity (IPI)	"glucose mediated signaling (IGI, IMP); invasive growth in response to glucose limitation (IGI, IMP); negative regulation of Ras protein signal transduction (IGI); negative regulation of phosphorylation (IGI); pseudohyphal growth (IGI, IMP); signal transduction (IPI)"	"cytoplasm (IDA, IEA); plasma membrane (IGI)"	no	hom
YOR372C::chr15_4	NDD1	3.0295	0.516816	Transcriptional activator essential for nuclear division; localized to the nucleus; essential component of the mechanism that activates the expression of a set of late-S-phase-specific genes	"transcription coactivator activity (IDA, IMP)"	"G2/M-specific transcription in mitotic cell cycle (IMP); regulation of transcription, DNA-dependent (IEA); transcription (IEA)"	"cytoplasm (IEA); nucleus (IEA, IDA)"	yes	het
YOR373W::chr15_4	NUD1	-1.18334	-0.22694	"Component of the spindle pole body outer plaque, required for exit from mitosis"	structural constituent of cytoskeleton (IPI)	cell cycle (IEA); cell division (IEA); exit from mitosis (IMP); meiosis (IEA); meiotic chromosome segregation (IMP); mitosis (IEA)	spindle pole body (IDA)	yes	het
YOR374W::chr15_4	ALD4	0.281628	0.0453165	"Mitochondrial aldehyde dehydrogenase, required for growth on ethanol and conversion of acetaldehyde to acetate; phosphorylated; activity is K+ dependent; utilizes NADP+ or NAD+ equally as coenzymes; expression is glucose repressed"	"aldehyde dehydrogenase (NAD) activity (IEA, IDA, ISS, IMP); aldehyde dehydrogenase [NAD(P)+] activity (IDA); oxidoreductase activity (IEA)"	ethanol metabolic process (IMP); metabolic process (IEA); oxidation reduction (IEA)	"mitochondrial matrix (IEA); mitochondrial nucleoid (IDA); mitochondrion (IDA, IEA, ISS, IMP)"	no	hom
YOR375C::chr15_4	GDH1	-0.744643	-0.0728014	"NADP(+)-dependent glutamate dehydrogenase, synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh3p; expression regulated by nitrogen and carbon sources"	"binding (IEA); catalytic activity (IEA); glutamate dehydrogenase (NADP+) activity (IEA, IDA); oxidoreductase activity (IEA)"	amino acid metabolic process (IEA); glutamate biosynthetic process (IGI); metabolic process (IEA); oxidation reduction (IEA)	cytoplasm (IDA); nucleus (IDA)	no	hom
YOR376W-A::chr00_21	YOR376W-A	0.410541	0.0314468	Putative protein of unknown function; identified by fungal homology and RT-PCR	molecular_function (ND)	biological_process (ND)	cellular_component (ND)	no	hom
YOR376W::chr15_4	YOR376W	-0.490804	-0.0473441	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; YOR376W is not an essential gene."				no	hom
YOR377W::chr15_4	ATF1	-0.44399	-0.0237742	Alcohol acetyltransferase with potential roles in lipid and sterol metabolism; responsible for the major part of volatile acetate ester production during fermentation	"acyltransferase activity (IEA); alcohol O-acetyltransferase activity (IEA, IDA); transferase activity (IEA)"	acetate derivative biosynthetic process (TAS); alcohol metabolic process (IEA); fatty acid metabolic process (TAS); fermentation (TAS)	endomembrane system (TAS); lipid particle (IDA); membrane (IEA)	no	hom
YOR378W::chr15_4	YOR378W	1.20319	0.183523	Putative protein of unknown function; belongs to the DHA2 family of drug:H+ antiporters; YOR378W is not an essential gene	molecular_function (ND); transporter activity (IEA)	biological_process (ND); transport (IEA)	cellular_component (ND); integral to membrane (IEA); membrane (IEA); plasma membrane (IEA)	no	hom
YOR379C::chr15_4	YOR379C	1.06547	0.170422	Hypothetical protein				no	hom
YOR380W::chr15_4	RDR1	1.24635	0.262504	Transcriptional repressor involved in the control of multidrug resistance; negatively regulates expression of the PDR5 gene; member of the Gal4p family of zinc cluster proteins	"DNA binding (IEA); metal ion binding (IEA); transcription factor activity (IEA, ISS, IGI, IMP); zinc ion binding (IEA)"	"regulation of transcription, DNA-dependent (IEA); response to xenobiotic stimulus (IMP); transcription (IEA)"	"nucleus (IEA, TAS)"	no	hom
YOR381W::chr15_4	FRE3	-1.31029	-0.132176	"Ferric reductase, reduces siderophore-bound iron prior to uptake by transporters; expression induced by low iron levels"	FAD binding (IEA); electron carrier activity (IEA); ferric-chelate reductase activity (ISS); iron ion binding (IEA); metal ion binding (IEA); oxidoreductase activity (IEA)	"cellular iron ion homeostasis (IEP, IMP); ion transport (IEA); iron ion transport (IEA); oxidation reduction (IEA); siderophore-iron transport (IMP); transport (IEA)"	"integral to membrane (IEA, ISS); membrane (IEA); plasma membrane (IDA, IEA)"	no	hom
YOR382W::chr15_4	FIT2	-0.663857	-0.047288	"Mannoprotein that is incorporated into the cell wall via a glycosylphosphatidylinositol (GPI) anchor, involved in the retention of siderophore-iron in the cell wall"	iron ion binding (IEA); molecular_function (ND)	ion transport (IEA); iron ion transport (IEA); siderophore transport (IDA); transport (IEA)	anchored to membrane (IEA); cell wall (IEA); extracellular region (IEA); fungal-type cell wall (IDA); membrane (IEA)	no	hom
YOR383C::chr15_4	FIT3			"Mannoprotein that is incorporated into the cell wall via a glycosylphosphatidylinositol (GPI) anchor, involved in the retention of siderophore-iron in the cell wall"	iron ion binding (IEA); molecular_function (ND)	ion transport (IEA); iron ion transport (IEA); siderophore transport (IDA); transport (IEA)	anchored to membrane (IEA); cell wall (IEA); extracellular region (IEA); fungal-type cell wall (IDA); membrane (IEA)	no	hom
YOR384W::chr15_5	FRE5	-0.784256	-0.0799428	"Putative ferric reductase with similarity to Fre2p; expression induced by low iron levels; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"	FAD binding (IEA); electron carrier activity (IEA); ferric-chelate reductase activity (ISS); iron ion binding (IEA); metal ion binding (IEA); oxidoreductase activity (IEA)	biological_process (ND); ion transport (IEA); oxidation reduction (IEA); transport (IEA)	integral to membrane (IEA); membrane (IEA); mitochondrion (IDA); plasma membrane (IEA)	no	hom
YOR385W::chr15_5	YOR385W	-0.258239	-0.0337471	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YOR385W is not an essential gene	molecular_function (ND)	biological_process (ND)	"cytoplasm (IDA, IEA)"	no	hom
YOR386W::chr15_5	PHR1	-0.492408	-0.0951627	"DNA photolyase involved in photoreactivation, repairs pyrimidine dimers in the presence of visible light; induced by DNA damage; regulated by transcriptional repressor Rph1p"	"DNA binding (IEA); DNA photolyase activity (IEA); deoxyribodipyrimidine photo-lyase activity (TAS, IDA, IEA); lyase activity (IEA); nucleotide binding (IEA)"	DNA repair (IEA); photoreactive repair (TAS); protein-chromophore linkage (IEA); response to DNA damage stimulus (IEA)	"mitochondrion (IDA, IEA); nucleus (IEA, TAS)"	no	hom
YPL001W::chr16_3	HAT1	0.413784	0.0591845	"Catalytic subunit of the Hat1p-Hat2p histone acetyltransferase complex that uses the cofactor acetyl coenzyme A, to acetylate free nuclear and cytoplasmic histone H4; involved in telomeric silencing and DNA double-strand break repair"	"H3/H4 histone acetyltransferase activity (IMP, IDA); N-acetyltransferase activity (IEA); acyltransferase activity (IEA); histone acetyltransferase activity (IEA); histone binding (IDA); transferase activity (IEA)"	"DNA repair (IEA); chromatin modification (IEA); chromatin silencing at telomere (IGI, IEA); histone acetylation (IDA, IMP, IEA); metabolic process (IEA); response to DNA damage stimulus (IEA)"	"cytoplasm (IDA, IEA); histone acetyltransferase complex (IPI, IDA, IEA); nucleus (IEA, IDA)"	no	hom
YPL002C::chr16_3	SNF8	-0.274624	-0.0440489	"Component of the ESCRT-II complex, which is involved in ubiquitin-dependent sorting of proteins into the endosome; appears to be functionally related to SNF7; involved in glucose derepression"	protein binding (IDA)	"negative regulation of transcription from RNA polymerase II promoter by glucose (IMP); protein targeting to vacuole (IMP, IPI); protein transport (IEA); telomere maintenance (IMP); transport (IEA); ubiquitin-dependent protein catabolic process via the multivesicular body pathway (IC)"	ESCRT II complex (IDA); cytoplasm (IEA); endosome (IEA); endosome membrane (IEA); membrane (IEA)	no	hom
YPL003W::chr16_3	ULA1	1.04557	0.164069	"Protein that acts together with Uba3p to activate Rub1p before its conjugation to proteins (neddylation), which may play a role in protein degradation"	"ATP binding (IEA); NEDD8 activating enzyme activity (IDA, IMP, ISS); binding (IEA); catalytic activity (IEA); nucleotide binding (IEA)"	"metabolic process (IEA); protein neddylation (IDA, IMP, ISS); ubiquitin cycle (IEA)"	cellular_component (ND)	no	hom
YPL004C::chr00_17b	LSP1	0.532772	0.0437747	"Primary component of eisosomes, which are large immobile patch structures at the cell cortex associated with endocytosis, along with Pil1p and Sur7p; null mutants show activation of Pkc1p/Ypk1p stress resistance pathways"	protein kinase inhibitor activity (IMP)	"endocytosis (IGI, IMP); response to heat (IMP)"	"cytoplasm (IDA, IEA); eisosome (IDA); mitochondrial outer membrane (IDA); mitochondrion (IDA)"	no	hom
YPL005W::chr16_3	AEP3	-1.00089	-0.212466	"Peripheral mitochondrial inner membrane protein, located on the matrix face of the membrane; stabilizes the bicistronic AAP1-ATP6 mRNA encoding subunits 6 and 8 of the ATP synthase complex"	molecular_function (ND)	mRNA metabolic process (IMP)	"cytoplasm (IDA); extrinsic to membrane (IDA); membrane (IEA); mitochondrial inner membrane (IEA, IDA); mitochondrion (IDA, IEA)"	no	hom
